Id,Geography,Total; Estimate; Total population
1600000US2568120,"Sturbridge CDP, Massachusetts",2439
1600000US2568680,"Swampscott CDP, Massachusetts",14563
1600000US2569170,"Taunton city, Massachusetts",56826
1600000US2569205,"Teaticket CDP, Massachusetts",1484
1600000US2569585,"The Pinehills CDP, Massachusetts",1357
1600000US2570115,"Topsfield CDP, Massachusetts",3407
1600000US2570325,"Townsend CDP, Massachusetts",1459
1600000US2570815,"Turners Falls CDP, Massachusetts",4124
1600000US2571445,"Upton CDP, Massachusetts",2792
1600000US2571970,"Vineyard Haven CDP, Massachusetts",1821
1600000US2572250,"Wakefield CDP, Massachusetts",26823
1600000US2572460,"Walpole CDP, Massachusetts",5997
1600000US2572600,"Waltham city, Massachusetts",62832
1600000US2572845,"Ware CDP, Massachusetts",5757
1600000US2573020,"Wareham Center CDP, Massachusetts",3626
1600000US2573055,"Warren CDP, Massachusetts",1193
1600000US2573440,"Watertown Town city, Massachusetts",34553
1600000US2573930,"Webster CDP, Massachusetts",12175
1600000US2574210,"Wellesley CDP, Massachusetts",29004
1600000US2575050,"Westborough CDP, Massachusetts",4013
1600000US2575365,"West Brookfield CDP, Massachusetts",1178
1600000US2575505,"West Chatham CDP, Massachusetts",1347
1600000US2575680,"West Concord CDP, Massachusetts",7646
1600000US2575820,"West Dennis CDP, Massachusetts",2308
1600000US2575960,"West Falmouth CDP, Massachusetts",1867
1600000US2576030,"Westfield city, Massachusetts",41667
1600000US2577890,"West Springfield Town city, Massachusetts",28671
1600000US2578410,"West Wareham CDP, Massachusetts",2832
1600000US2578795,"West Yarmouth CDP, Massachusetts",5614
1600000US2578850,"Weweantic CDP, Massachusetts",1752
1600000US2578972,"Weymouth Town city, Massachusetts",55890
1600000US2579390,"White Island Shores CDP, Massachusetts",2166
1600000US2579495,"Whitinsville CDP, Massachusetts",6905
1600000US2579705,"Wilbraham CDP, Massachusetts",3610
1600000US2579950,"Williamstown CDP, Massachusetts",4229
1600000US2580195,"Wilmington CDP, Massachusetts",23538
1600000US2580370,"Winchendon CDP, Massachusetts",3379
1600000US2580545,"Winchester CDP, Massachusetts",22579
1600000US2581005,"Winthrop Town city, Massachusetts",18391
1600000US2581035,"Woburn city, Massachusetts",39500
1600000US2581245,"Woods Hole CDP, Massachusetts",1029
1600000US2582000,"Worcester city, Massachusetts",184743
1600000US2582595,"Yarmouth Port CDP, Massachusetts",4950
1600000US2600380,"Addison village, Michigan",621
1600000US2600440,"Adrian city, Michigan",20743
1600000US2600480,"Advance CDP, Michigan",305
1600000US2600620,"Ahmeek village, Michigan",128
1600000US2600700,"Akron village, Michigan",452
1600000US2600860,"Alanson village, Michigan",864
1600000US2600900,"Alba CDP, Michigan",304
1600000US2600980,"Albion city, Michigan",8263
1600000US2601060,"Alden CDP, Michigan",95
1600000US2601180,"Algonac city, Michigan",4048
1600000US2601260,"Allegan city, Michigan",5027
1600000US2601300,"Allen village, Michigan",269
1600000US2601340,"Allendale CDP, Michigan",20080
1600000US2601380,"Allen Park city, Michigan",27406
1600000US2601540,"Alma city, Michigan",9108
1600000US2601660,"Almont village, Michigan",2748
1600000US2601740,"Alpena city, Michigan",10123
1600000US2601800,"Alpha village, Michigan",169
1600000US2601960,"Amasa CDP, Michigan",253
1600000US2603000,"Ann Arbor city, Michigan",119303
1600000US2603200,"Applegate village, Michigan",265
1600000US2603300,"Arcadia CDP, Michigan",266
1600000US2603400,"Argentine CDP, Michigan",2626
1600000US2603520,"Armada village, Michigan",1855
1600000US2603740,"Ashley village, Michigan",494
1600000US2603880,"Athens village, Michigan",1126
1600000US2603920,"Atlanta CDP, Michigan",779
1600000US2604020,"Attica CDP, Michigan",566
1600000US2604080,"Auburn city, Michigan",1934
1600000US2604105,"Auburn Hills city, Michigan",22644
1600000US2604120,"Au Gres city, Michigan",813
1600000US2604160,"Augusta village, Michigan",902
1600000US2604280,"Au Sable CDP, Michigan",1320
1600000US2604740,"Bad Axe city, Michigan",3000
1600000US2604940,"Baldwin village, Michigan",1310
1600000US2605080,"Bancroft village, Michigan",604
1600000US2605140,"Bangor city, Michigan",1896
1600000US2605320,"Baraga village, Michigan",2575
1600000US2605470,"Barnes Lake-Millers Lake CDP, Michigan",1005
1600000US2605500,"Baroda village, Michigan",817
1600000US2605580,"Barryton village, Michigan",445
1600000US2605660,"Barton Hills village, Michigan",294
1600000US2605880,"Bath CDP, Michigan",2022
1600000US2605920,"Battle Creek city, Michigan",51505
1600000US2606020,"Bay City city, Michigan",33736
1600000US2606120,"Bay Port CDP, Michigan",397
1600000US2606180,"Bay Shore CDP, Michigan",847
1600000US2606260,"Bay View CDP, Michigan",315
1600000US2606360,"Beal City CDP, Michigan",408
1600000US2606430,"Bear Lake CDP, Michigan",422
1600000US2606460,"Bear Lake village, Michigan",205
1600000US2606660,"Beaverton city, Michigan",1199
1600000US2606820,"Beecher CDP, Michigan",9490
1600000US2606880,"Beechwood CDP, Michigan",3185
1600000US2606900,"Belding city, Michigan",5730
1600000US2606980,"Bellaire village, Michigan",901
1600000US2607020,"Belleville city, Michigan",3880
1600000US2607060,"Bellevue village, Michigan",1358
1600000US2607220,"Bendon CDP, Michigan",192
1600000US2607520,"Benton Harbor city, Michigan",9944
1600000US2607540,"Benton Heights CDP, Michigan",4343
1600000US2607580,"Benzonia village, Michigan",535
1600000US2607660,"Berkley city, Michigan",15269
1600000US2607860,"Berrien Springs village, Michigan",1465
1600000US2607960,"Bessemer city, Michigan",1908
1600000US2608100,"Beulah village, Michigan",216
1600000US2608160,"Beverly Hills village, Michigan",10424
1600000US2608180,"Big Bay CDP, Michigan",160
1600000US2608300,"Big Rapids city, Michigan",10413
1600000US2608460,"Bingham Farms village, Michigan",1189
1600000US2608540,"Birch Run village, Michigan",1699
1600000US2608640,"Birmingham city, Michigan",20836
1600000US2609000,"Blissfield village, Michigan",3372
1600000US2609180,"Bloomfield Hills city, Michigan",3981
1600000US2609220,"Bloomingdale village, Michigan",629
1600000US2609560,"Boon CDP, Michigan",239
1600000US2609820,"Boyne City city, Michigan",3747
1600000US2609840,"Boyne Falls village, Michigan",396
1600000US2610160,"Breckenridge village, Michigan",1210
1600000US2610180,"Breedsville village, Michigan",239
1600000US2610300,"Brethren CDP, Michigan",447
1600000US2610440,"Bridgeport CDP, Michigan",6458
1600000US2610580,"Bridgman city, Michigan",2397
1600000US2610620,"Brighton city, Michigan",7567
1600000US2610760,"Britton village, Michigan",706
1600000US2610860,"Bronson city, Michigan",2484
1600000US2611000,"Brooklyn village, Michigan",1319
1600000US2611180,"Brown City city, Michigan",1288
1600000US2611200,"Brownlee Park CDP, Michigan",1778
1600000US2611380,"Brutus CDP, Michigan",149
1600000US2611400,"Buchanan city, Michigan",4359
1600000US2611480,"Buckley village, Michigan",800
1600000US2611555,"Buena Vista CDP, Michigan",6283
1600000US2611800,"Burlington village, Michigan",279
1600000US2611920,"Burr Oak village, Michigan",848
1600000US2612000,"Burt CDP, Michigan",1091
1600000US2612060,"Burton city, Michigan",28856
1600000US2612260,"Byron village, Michigan",525
1600000US2612280,"Byron Center CDP, Michigan",6751
1600000US2612290,"Caberfae CDP, Michigan",34
1600000US2612320,"Cadillac city, Michigan",10375
1600000US2612480,"Caledonia village, Michigan",1843
1600000US2612580,"Calumet village, Michigan",819
1600000US2612760,"Camden village, Michigan",607
1600000US2612980,"Canada Creek Ranch CDP, Michigan",269
1600000US2613010,"Canadian Lakes CDP, Michigan",2915
1600000US2613140,"Capac village, Michigan",1940
1600000US2613220,"Carleton village, Michigan",2364
1600000US2613400,"Carney village, Michigan",193
1600000US2613420,"Caro city, Michigan",4091
1600000US2613480,"Carp Lake CDP, Michigan",478
1600000US2613600,"Carson City city, Michigan",1165
1600000US2613620,"Carsonville village, Michigan",521
1600000US2613760,"Caseville city, Michigan",740
1600000US2613820,"Casnovia village, Michigan",482
1600000US2613860,"Caspian city, Michigan",511
1600000US2613880,"Cass City village, Michigan",2429
1600000US2613900,"Cassopolis village, Michigan",1730
1600000US2614020,"Cedar CDP, Michigan",106
1600000US2614200,"Cedar Springs city, Michigan",3620
1600000US2614260,"Cement City village, Michigan",461
1600000US2614320,"Center Line city, Michigan",8299
1600000US2614400,"Central Lake village, Michigan",986
1600000US2614460,"Centreville village, Michigan",1550
1600000US2614780,"Charlevoix city, Michigan",2457
1600000US2614820,"Charlotte city, Michigan",9062
1600000US2614940,"Chatham village, Michigan",196
1600000US2615000,"Cheboygan city, Michigan",4732
1600000US2615020,"Chelsea city, Michigan",5169
1600000US2615140,"Chesaning village, Michigan",2382
1600000US2615715,"Chums Corner CDP, Michigan",1303
1600000US2615920,"Clare city, Michigan",3087
1600000US2616140,"Clarksville village, Michigan",372
1600000US2616160,"Clawson city, Michigan",12006
1600000US2616280,"Clayton village, Michigan",350
1600000US2616420,"Clifford village, Michigan",341
1600000US2616440,"Climax village, Michigan",753
1600000US2616480,"Clinton village, Michigan",2494
1600000US2616620,"Clio city, Michigan",2541
1600000US2617020,"Coldwater city, Michigan",10819
1600000US2617100,"Coleman city, Michigan",1495
1600000US2617320,"Coloma city, Michigan",1669
1600000US2617360,"Colon village, Michigan",1126
1600000US2617460,"Columbiaville village, Michigan",881
1600000US2617690,"Comstock Northwest CDP, Michigan",5957
1600000US2617700,"Comstock Park CDP, Michigan",10292
1600000US2617740,"Concord village, Michigan",1257
1600000US2617840,"Constantine village, Michigan",1973
1600000US2617900,"Conway CDP, Michigan",211
1600000US2618020,"Coopersville city, Michigan",4376
1600000US2618040,"Copemish village, Michigan",197
1600000US2618080,"Copper City village, Michigan",255
1600000US2618100,"Copper Harbor CDP, Michigan",102
1600000US2618300,"Corunna city, Michigan",3398
1600000US2618880,"Cross Village CDP, Michigan",86
1600000US2618920,"Croswell city, Michigan",2528
1600000US2619135,"Crystal Downs Country Club CDP, Michigan",79
1600000US2619140,"Crystal Falls city, Michigan",1696
1600000US2619195,"Crystal Mountain CDP, Michigan",61
1600000US2619420,"Custer village, Michigan",245
1600000US2619500,"Cutlerville CDP, Michigan",15712
1600000US2619560,"Daggett village, Michigan",208
1600000US2619780,"Dansville village, Michigan",606
1600000US2619880,"Davison city, Michigan",4997
1600000US2621000,"Dearborn city, Michigan",95295
1600000US2621020,"Dearborn Heights city, Michigan",56201
1600000US2621040,"Decatur village, Michigan",1932
1600000US2621100,"Deckerville village, Michigan",767
1600000US2621180,"Deerfield village, Michigan",866
1600000US2621560,"Delton CDP, Michigan",913
1600000US2621780,"De Tour Village village, Michigan",282
1600000US2622000,"Detroit city, Michigan",679865
1600000US2622040,"Detroit Beach CDP, Michigan",1797
1600000US2622120,"DeWitt city, Michigan",4647
1600000US2622160,"Dexter city, Michigan",4385
1600000US2622380,"Dimondale village, Michigan",1286
1600000US2622520,"Dollar Bay CDP, Michigan",813
1600000US2622740,"Douglas city, Michigan",993
1600000US2622880,"Dowagiac city, Michigan",5812
1600000US2622900,"Dowling CDP, Michigan",345
1600000US2623140,"Dryden village, Michigan",1056
1600000US2623380,"Dundee village, Michigan",4049
1600000US2623500,"Durand city, Michigan",3334
1600000US2623560,"Eagle village, Michigan",132
1600000US2623600,"Eagle Harbor CDP, Michigan",98
1600000US2623740,"Eagle River CDP, Michigan",83
1600000US2623980,"East Grand Rapids city, Michigan",11493
1600000US2624020,"East Jordan city, Michigan",2304
1600000US2624060,"Eastlake village, Michigan",431
1600000US2624120,"East Lansing city, Michigan",48281
1600000US2624290,"Eastpointe city, Michigan",32601
1600000US2624300,"Eastport CDP, Michigan",237
1600000US2624420,"East Tawas city, Michigan",2749
1600000US2624500,"Eastwood CDP, Michigan",5766
1600000US2624540,"Eaton Rapids city, Michigan",5191
1600000US2624580,"Eau Claire village, Michigan",727
1600000US2624740,"Ecorse city, Michigan",9321
1600000US2624880,"Edgemont Park CDP, Michigan",2175
1600000US2625000,"Edmore village, Michigan",1281
1600000US2625040,"Edwardsburg village, Michigan",1297
1600000US2625180,"Elberta village, Michigan",185
1600000US2625320,"Elk Rapids village, Michigan",1611
1600000US2625360,"Elkton village, Michigan",810
1600000US2625420,"Ellsworth village, Michigan",339
1600000US2625780,"Elsie village, Michigan",1073
1600000US2625940,"Emmett village, Michigan",281
1600000US2625980,"Empire village, Michigan",313
1600000US2626360,"Escanaba city, Michigan",12364
1600000US2626420,"Essexville city, Michigan",3375
1600000US2626460,"Estral Beach village, Michigan",361
1600000US2626640,"Evart city, Michigan",1552
1600000US2627080,"Fairgrove village, Michigan",524
1600000US2627160,"Fair Plain CDP, Michigan",7324
1600000US2627380,"Farmington city, Michigan",10560
1600000US2627440,"Farmington Hills city, Michigan",81235
1600000US2627500,"Farwell village, Michigan",778
1600000US2627740,"Fennville city, Michigan",1808
1600000US2627760,"Fenton city, Michigan",11364
1600000US2627880,"Ferndale city, Michigan",20159
1600000US2627960,"Ferrysburg city, Michigan",2992
1600000US2628000,"Fife Lake village, Michigan",387
1600000US2628060,"Filer City CDP, Michigan",90
1600000US2628360,"Flat Rock city, Michigan",9889
1600000US2629000,"Flint city, Michigan",97810
1600000US2629200,"Flushing city, Michigan",8058
1600000US2629580,"Forest Hills CDP, Michigan",27599
1600000US2629660,"Forestville village, Michigan",67
1600000US2629920,"Fostoria CDP, Michigan",529
1600000US2629940,"Fountain village, Michigan",197
1600000US2630040,"Fowler village, Michigan",1321
1600000US2630060,"Fowlerville village, Michigan",2907
1600000US2630200,"Frankenmuth city, Michigan",5038
1600000US2630260,"Frankfort city, Michigan",1334
1600000US2630340,"Franklin village, Michigan",3218
1600000US2630420,"Fraser city, Michigan",14616
1600000US2630540,"Freeland CDP, Michigan",7271
1600000US2630580,"Freeport village, Michigan",506
1600000US2630600,"Free Soil village, Michigan",105
1600000US2630700,"Fremont city, Michigan",4000
1600000US2631000,"Fruitport village, Michigan",1449
1600000US2631160,"Gaastra city, Michigan",383
1600000US2631180,"Gagetown village, Michigan",279
1600000US2631200,"Gaines village, Michigan",340
1600000US2631260,"Galesburg city, Michigan",2013
1600000US2631300,"Galien village, Michigan",418
1600000US2631380,"Garden village, Michigan",186
1600000US2631420,"Garden City city, Michigan",26889
1600000US2631720,"Gaylord city, Michigan",3647
1600000US2632020,"Gibraltar city, Michigan",4536
1600000US2632300,"Gladstone city, Michigan",4824
1600000US2632320,"Gladwin city, Michigan",2897
1600000US2632360,"Glen Arbor CDP, Michigan",131
1600000US2632640,"Gobles city, Michigan",799
1600000US2632980,"Goodrich village, Michigan",1956
1600000US2633260,"Grand Beach village, Michigan",284
1600000US2633280,"Grand Blanc city, Michigan",7964
1600000US2633340,"Grand Haven city, Michigan",10929
1600000US2633420,"Grand Ledge city, Michigan",7799
1600000US2634000,"Grand Rapids city, Michigan",195355
1600000US2634160,"Grandville city, Michigan",15902
1600000US2634360,"Grant city, Michigan",769
1600000US2634480,"Grass Lake village, Michigan",1284
1600000US2634620,"Grawn CDP, Michigan",811
1600000US2634640,"Grayling city, Michigan",1813
1600000US2635100,"Greenville city, Michigan",8385
1600000US2635300,"Greilickville CDP, Michigan",1522
1600000US2635480,"Grosse Pointe city, Michigan",5241
1600000US2635520,"Grosse Pointe Farms city, Michigan",9238
1600000US2635540,"Grosse Pointe Park city, Michigan",11240
1600000US2635580,"Grosse Pointe Woods city, Michigan",15678
1600000US2635760,"Gwinn CDP, Michigan",2072
1600000US2636280,"Hamtramck city, Michigan",21959
1600000US2636300,"Hancock city, Michigan",4574
1600000US2636380,"Hanover village, Michigan",503
1600000US2636460,"Harbor Beach city, Michigan",1871
1600000US2636560,"Harbor Springs city, Michigan",1037
1600000US2636585,"Hardwood Acres CDP, Michigan",432
1600000US2636590,"Haring CDP, Michigan",389
1600000US2636700,"Harper Woods city, Michigan",13890
1600000US2636720,"Harrietta village, Michigan",164
1600000US2636800,"Harrison city, Michigan",2200
1600000US2636860,"Harrisville city, Michigan",391
1600000US2636920,"Hart city, Michigan",2275
1600000US2636960,"Hartford city, Michigan",2619
1600000US2637080,"Harvey CDP, Michigan",1575
1600000US2637100,"Haslett CDP, Michigan",19800
1600000US2637120,"Hastings city, Michigan",7289
1600000US2637420,"Hazel Park city, Michigan",16587
1600000US2637600,"Hemlock CDP, Michigan",1550
1600000US2637620,"Henderson CDP, Michigan",308
1600000US2637820,"Hersey village, Michigan",307
1600000US2637860,"Hesperia village, Michigan",889
1600000US2637960,"Hickory Corners CDP, Michigan",142
1600000US2638180,"Highland Park city, Michigan",10955
1600000US2638380,"Hillman village, Michigan",691
1600000US2638460,"Hillsdale city, Michigan",8170
1600000US2638640,"Holland city, Michigan",33488
1600000US2638700,"Holly village, Michigan",6173
1600000US2638780,"Holt CDP, Michigan",24912
1600000US2638920,"Homer village, Michigan",1793
1600000US2639080,"Honor village, Michigan",241
1600000US2639180,"Hopkins village, Michigan",735
1600000US2639340,"Horton Bay CDP, Michigan",538
1600000US2639360,"Houghton city, Michigan",7882
1600000US2639400,"Houghton Lake CDP, Michigan",3528
1600000US2639500,"Howard City village, Michigan",1787
1600000US2639540,"Howell city, Michigan",9514
1600000US2639634,"Hubbard Lake CDP, Michigan",862
1600000US2639660,"Hubbardston village, Michigan",304
1600000US2639680,"Hubbell CDP, Michigan",1002
1600000US2639720,"Hudson city, Michigan",2413
1600000US2639800,"Hudsonville city, Michigan",7335
1600000US2640000,"Huntington Woods city, Michigan",6347
1600000US2640320,"Imlay City city, Michigan",3583
1600000US2640480,"Indian River CDP, Michigan",1870
1600000US2640680,"Inkster city, Michigan",24670
1600000US2640800,"Interlochen CDP, Michigan",467
1600000US2640860,"Ionia city, Michigan",11253
1600000US2640960,"Iron Mountain city, Michigan",7450
1600000US2640980,"Iron River city, Michigan",2878
1600000US2641040,"Ironton CDP, Michigan",156
1600000US2641060,"Ironwood city, Michigan",5051
1600000US2641220,"Ishpeming city, Michigan",6484
1600000US2641340,"Ithaca city, Michigan",2827
1600000US2641420,"Jackson city, Michigan",32875
1600000US2641540,"Jasper CDP, Michigan",379
1600000US2641680,"Jenison CDP, Michigan",17758
1600000US2641720,"Jennings CDP, Michigan",294
1600000US2641920,"Jonesville city, Michigan",2327
1600000US2642160,"Kalamazoo city, Michigan",75833
1600000US2642240,"Kaleva village, Michigan",518
1600000US2642260,"Kalkaska village, Michigan",2057
1600000US2642460,"Keego Harbor city, Michigan",3124
1600000US2642780,"Kent City village, Michigan",1061
1600000US2642820,"Kentwood city, Michigan",51154
1600000US2643220,"Kinde village, Michigan",555
1600000US2643300,"Kingsford city, Michigan",5044
1600000US2643340,"Kingsley village, Michigan",1498
1600000US2643380,"Kingston village, Michigan",387
1600000US2643558,"K. I. Sawyer CDP, Michigan",3255
1600000US2644200,"Laingsburg city, Michigan",1275
1600000US2644440,"Lake Angelus city, Michigan",261
1600000US2644460,"Lake Ann village, Michigan",242
1600000US2644480,"Lake City city, Michigan",996
1600000US2644520,"Lake Fenton CDP, Michigan",5279
1600000US2644715,"Lake Isabella village, Michigan",2054
1600000US2644760,"Lake Leelanau CDP, Michigan",165
1600000US2644780,"Lake Linden village, Michigan",1094
1600000US2644820,"Lake Michigan Beach CDP, Michigan",1249
1600000US2644880,"Lake Odessa village, Michigan",2083
1600000US2644940,"Lake Orion village, Michigan",3116
1600000US2645144,"Lakes of the North CDP, Michigan",846
1600000US2645190,"Lake Victoria CDP, Michigan",836
1600000US2645240,"Lakeview village, Michigan",1073
1600000US2645340,"Lakewood Club village, Michigan",1136
1600000US2645420,"Lambertville CDP, Michigan",9386
1600000US2645540,"L'Anse village, Michigan",2179
1600000US2646000,"Lansing city, Michigan",115222
1600000US2646040,"Lapeer city, Michigan",8769
1600000US2646320,"Lathrup Village city, Michigan",4151
1600000US2646360,"Laurium village, Michigan",2147
1600000US2646440,"Lawrence village, Michigan",1065
1600000US2646500,"Lawton village, Michigan",1666
1600000US2646800,"Leland CDP, Michigan",347
1600000US2646880,"Lennon village, Michigan",554
1600000US2646940,"Leonard village, Michigan",339
1600000US2647100,"Le Roy village, Michigan",330
1600000US2647180,"Leslie city, Michigan",1951
1600000US2647230,"Level Park-Oak Park CDP, Michigan",3801
1600000US2647240,"Levering CDP, Michigan",192
1600000US2647260,"Lewiston CDP, Michigan",1209
1600000US2647280,"Lexington village, Michigan",992
1600000US2647560,"Lincoln village, Michigan",353
1600000US2647800,"Lincoln Park city, Michigan",37028
1600000US2647820,"Linden city, Michigan",3877
1600000US2647980,"Litchfield city, Michigan",1311
1600000US2649000,"Livonia city, Michigan",94708
1600000US2649400,"Loomis CDP, Michigan",165
1600000US2649450,"Lost Lake Woods CDP, Michigan",371
1600000US2649540,"Lowell city, Michigan",3996
1600000US2649640,"Ludington city, Michigan",8047
1600000US2649700,"Luna Pier city, Michigan",1314
1600000US2649720,"Lupton CDP, Michigan",266
1600000US2649740,"Luther village, Michigan",345
1600000US2649900,"Lyons village, Michigan",967
1600000US2649980,"McBain city, Michigan",630
1600000US2650000,"McBride village, Michigan",172
1600000US2650280,"Mackinac Island city, Michigan",849
1600000US2650320,"Mackinaw City village, Michigan",791
1600000US2650560,"Madison Heights city, Michigan",30173
1600000US2650620,"Mancelona village, Michigan",1409
1600000US2650660,"Manchester village, Michigan",2138
1600000US2650720,"Manistee city, Michigan",6079
1600000US2650755,"Manistee Lake CDP, Michigan",485
1600000US2650760,"Manistique city, Michigan",2944
1600000US2650830,"Manitou Beach-Devils Lake CDP, Michigan",1817
1600000US2650880,"Manton city, Michigan",1203
1600000US2650920,"Maple City CDP, Michigan",99
1600000US2650970,"Maple Grove CDP, Michigan",50
1600000US2651200,"Maple Rapids village, Michigan",655
1600000US2651460,"Marcellus village, Michigan",1120
1600000US2651540,"Marenisco CDP, Michigan",179
1600000US2651600,"Marine City city, Michigan",4137
1600000US2651660,"Marion village, Michigan",780
1600000US2651820,"Marlette city, Michigan",1878
1600000US2651900,"Marquette city, Michigan",21081
1600000US2651940,"Marshall city, Michigan",7016
1600000US2651980,"Martin village, Michigan",443
1600000US2652080,"Marysville city, Michigan",9760
1600000US2652180,"Mason city, Michigan",8387
1600000US2652380,"Mattawan village, Michigan",2307
1600000US2652440,"Maybee village, Michigan",598
1600000US2652540,"Mayville village, Michigan",853
1600000US2652760,"Mecosta village, Michigan",474
1600000US2652920,"Melvin village, Michigan",163
1600000US2652940,"Melvindale city, Michigan",10432
1600000US2652960,"Memphis city, Michigan",1250
1600000US2652980,"Mendon village, Michigan",894
1600000US2653020,"Menominee city, Michigan",8298
1600000US2653180,"Merrill village, Michigan",720
1600000US2653320,"Mesick village, Michigan",387
1600000US2653340,"Metamora village, Michigan",641
1600000US2653500,"Michiana village, Michigan",185
1600000US2653520,"Michigamme CDP, Michigan",250
1600000US2653580,"Michigan Center CDP, Michigan",4707
1600000US2653730,"Middletown CDP, Michigan",686
1600000US2653760,"Middleville village, Michigan",3362
1600000US2653780,"Midland city, Michigan",41958
1600000US2653920,"Milan city, Michigan",5965
1600000US2653960,"Milford village, Michigan",6449
1600000US2654120,"Millersburg village, Michigan",198
1600000US2654220,"Millington village, Michigan",968
1600000US2654560,"Minden City village, Michigan",171
1600000US2654660,"Mio CDP, Michigan",1884
1600000US2655020,"Monroe city, Michigan",20128
1600000US2655100,"Montague city, Michigan",2636
1600000US2655220,"Montgomery village, Michigan",328
1600000US2655280,"Montrose city, Michigan",1560
1600000US2655500,"Morenci city, Michigan",2567
1600000US2655540,"Morley village, Michigan",574
1600000US2655560,"Morrice village, Michigan",1227
1600000US2655820,"Mount Clemens city, Michigan",16383
1600000US2655960,"Mount Morris city, Michigan",2920
1600000US2656020,"Mount Pleasant city, Michigan",25711
1600000US2656080,"Muir village, Michigan",683
1600000US2656140,"Mulliken village, Michigan",598
1600000US2656200,"Munising city, Michigan",2307
1600000US2656320,"Muskegon city, Michigan",38189
1600000US2656360,"Muskegon Heights city, Michigan",10743
1600000US2656620,"Napoleon CDP, Michigan",1212
1600000US2656680,"Nashville village, Michigan",1719
1600000US2656860,"Negaunee city, Michigan",4579
1600000US2656960,"Nessen City CDP, Michigan",98
1600000US2657080,"Newaygo city, Michigan",1921
1600000US2657100,"New Baltimore city, Michigan",12315
1600000US2657140,"Newberry village, Michigan",1533
1600000US2657220,"New Buffalo city, Michigan",1750
1600000US2657280,"New Era village, Michigan",485
1600000US2657380,"New Haven village, Michigan",4714
1600000US2657520,"New Lothrop village, Michigan",637
1600000US2657660,"New Troy CDP, Michigan",706
1600000US2657760,"Niles city, Michigan",11332
1600000US2657920,"North Adams village, Michigan",556
1600000US2658080,"North Branch village, Michigan",1067
1600000US2658640,"North Muskegon city, Michigan",3794
1600000US2658740,"Northport village, Michigan",466
1600000US2658945,"Northview CDP, Michigan",15424
1600000US2658980,"Northville city, Michigan",5998
1600000US2659140,"Norton Shores city, Michigan",24234
1600000US2659220,"Norway city, Michigan",2791
1600000US2659320,"Norwood CDP, Michigan",144
1600000US2659440,"Novi city, Michigan",58835
1600000US2659740,"Oak Hill CDP, Michigan",786
1600000US2659860,"Oakley village, Michigan",254
1600000US2659920,"Oak Park city, Michigan",29824
1600000US2660180,"Oden CDP, Michigan",365
1600000US2660340,"Okemos CDP, Michigan",22989
1600000US2660580,"Olivet city, Michigan",1696
1600000US2660640,"Omena CDP, Michigan",208
1600000US2660660,"Omer city, Michigan",309
1600000US2660680,"Onaway city, Michigan",765
1600000US2660740,"Onekama village, Michigan",502
1600000US2660840,"Onsted village, Michigan",1039
1600000US2660860,"Ontonagon village, Michigan",1448
1600000US2661020,"Orchard Lake Village city, Michigan",2512
1600000US2661220,"Ortonville village, Michigan",1777
1600000US2661320,"Oscoda CDP, Michigan",696
1600000US2661500,"Ossineke CDP, Michigan",1006
1600000US2661600,"Otisville village, Michigan",1048
1600000US2661620,"Otsego city, Michigan",3974
1600000US2661760,"Otter Lake village, Michigan",390
1600000US2661860,"Ovid village, Michigan",1827
1600000US2661920,"Owendale village, Michigan",261
1600000US2661940,"Owosso city, Michigan",14641
1600000US2662020,"Oxford village, Michigan",3528
1600000US2662180,"Palmer CDP, Michigan",436
1600000US2662340,"Parchment city, Michigan",1931
1600000US2662500,"Parkdale CDP, Michigan",670
1600000US2662740,"Parma village, Michigan",657
1600000US2662980,"Paw Paw village, Michigan",3414
1600000US2663020,"Paw Paw Lake CDP, Michigan",3817
1600000US2663200,"Pearl Beach CDP, Michigan",2853
1600000US2663260,"Peck village, Michigan",663
1600000US2663300,"Pellston village, Michigan",883
1600000US2663540,"Pentwater village, Michigan",847
1600000US2663660,"Perrinton village, Michigan",555
1600000US2663700,"Perry city, Michigan",2135
1600000US2663800,"Petersburg city, Michigan",1253
1600000US2663820,"Petoskey city, Michigan",5696
1600000US2663900,"Pewamo village, Michigan",585
1600000US2664020,"Pierson village, Michigan",210
1600000US2664060,"Pigeon village, Michigan",1227
1600000US2664100,"Pilgrim CDP, Michigan",52
1600000US2664140,"Pinckney village, Michigan",2571
1600000US2664160,"Pinconning city, Michigan",1468
1600000US2664740,"Plainwell city, Michigan",3789
1600000US2664900,"Pleasant Ridge city, Michigan",2365
1600000US2665060,"Plymouth city, Michigan",9005
1600000US2665420,"Ponshewaing CDP, Michigan",38
1600000US2665440,"Pontiac city, Michigan",60039
1600000US2665560,"Portage city, Michigan",48072
1600000US2665680,"Port Austin village, Michigan",682
1600000US2665800,"Port Hope village, Michigan",225
1600000US2665820,"Port Huron city, Michigan",29285
1600000US2665860,"Portland city, Michigan",3905
1600000US2665900,"Port Sanilac village, Michigan",567
1600000US2666000,"Posen village, Michigan",220
1600000US2666100,"Potterville city, Michigan",2647
1600000US2666140,"Powers village, Michigan",443
1600000US2666300,"Prescott village, Michigan",294
1600000US2666343,"Presque Isle Harbor CDP, Michigan",618
1600000US2666400,"Prudenville CDP, Michigan",1776
1600000US2666640,"Quincy village, Michigan",1507
1600000US2666720,"Quinnesec CDP, Michigan",843
