Id,Geography,Total; Estimate; Total population
1600000US0143816,"Lockhart town, Alabama",338
1600000US0143888,"Locust Fork town, Alabama",1386
1600000US0144160,"Lookout Mountain CDP, Alabama",1721
1600000US0144344,"Louisville town, Alabama",524
1600000US0144536,"Lowndesboro town, Alabama",100
1600000US0144608,"Loxley town, Alabama",1825
1600000US0144728,"Luverne city, Alabama",2769
1600000US0144800,"Lynn town, Alabama",526
1600000US0145208,"McDonald Chapel CDP, Alabama",610
1600000US0145316,"Macedonia CDP, Alabama",215
1600000US0145472,"McIntosh town, Alabama",384
1600000US0145496,"McKenzie town, Alabama",437
1600000US0145640,"McMullen town, Alabama",6
1600000US0145784,"Madison city, Alabama",47079
1600000US0145904,"Madrid town, Alabama",370
1600000US0146072,"Magnolia Springs town, Alabama",715
1600000US0146192,"Malcolm CDP, Alabama",391
1600000US0146264,"Malvern town, Alabama",1949
1600000US0146504,"Maplesville town, Alabama",747
1600000US0146600,"Marbury CDP, Alabama",1926
1600000US0146696,"Margaret town, Alabama",4653
1600000US0146768,"Marion city, Alabama",3433
1600000US0147728,"Maytown town, Alabama",304
1600000US0147740,"Meadowbrook CDP, Alabama",9115
1600000US0147848,"Megargel CDP, Alabama",13
1600000US0148052,"Memphis town, Alabama",31
1600000US0148064,"Mentone town, Alabama",356
1600000US0148112,"Meridianville CDP, Alabama",6731
1600000US0148376,"Midfield city, Alabama",5174
1600000US0148400,"Midland City town, Alabama",2044
1600000US0148424,"Midway town, Alabama",633
1600000US0148616,"Mignon CDP, Alabama",1211
1600000US0148712,"Millbrook city, Alabama",14994
1600000US0148784,"Millerville CDP, Alabama",205
1600000US0148808,"Millport town, Alabama",1087
1600000US0148832,"Millry town, Alabama",646
1600000US0149072,"Minor CDP, Alabama",1008
1600000US0150000,"Mobile city, Alabama",192085
1600000US0150192,"Monroeville city, Alabama",6072
1600000US0150312,"Montevallo city, Alabama",6626
1600000US0151000,"Montgomery city, Alabama",200761
1600000US0151096,"Moody city, Alabama",12585
1600000US0151216,"Moores Mill CDP, Alabama",6695
1600000US0151264,"Mooresville town, Alabama",73
1600000US0151456,"Morris town, Alabama",1810
1600000US0151469,"Morrison Crossroads CDP, Alabama",287
1600000US0151520,"Mosses town, Alabama",1078
1600000US0151600,"Moulton city, Alabama",3310
1600000US0151648,"Moundville town, Alabama",2650
1600000US0151696,"Mountain Brook city, Alabama",20438
